Price,dia,tempMedia,tempMax,tempMin,humedadMedia,humedadMax,humedadMin,velViento,dirViento,velVientoMax,dirVientoVelMax,radiacion,precipitacion,Dia,Mes,Año
109,62.0,16.84,18.58,14.65,71.4,87.1,38.51,5.85,259.1,12.59,253.7,16.88,0.0,2,3,2020
111,63.0,17.02,22.36,11.53,45.77,72.9,32.77,1.526,2.789,8.67,246.9,16.62,0.0,3,3,2020
112,64.0,16.86,21.76,12.53,66.93,89.0,45.18,1.464,322.2,6.203,278.5,19.16,0.0,4,3,2020
112,65.0,15.81,19.51,11.34,68.9,94.5,42.72,2.697,292.7,11.09,260.9,18.53,0.0,5,3,2020
113,66.0,15.95,20.16,12.07,48.36,61.78,36.04,2.187,344.0,8.33,256.5,19.62,0.0,6,3,2020
120,67.0,15.06,19.63,11.8,56.74,84.2,40.05,1.464,319.5,4.116,349.6,17.97,0.0,7,3,2020
112,69.0,15.49,23.05,9.8,66.77,88.0,30.22,0.982,51.14,4.518,147.0,19.34,0.0,9,3,2020
117,70.0,15.81,19.78,12.34,61.51,79.5,44.78,1.117,11.99,4.204,19.53,18.84,0.0,10,3,2020
118,71.0,16.89,22.7,11.73,59.55,74.5,32.61,0.845,28.81,4.224,342.1,20.11,0.0,11,3,2020
123,72.0,18.77,26.57,13.4,49.83,71.6,24.55,1.694,316.7,5.547,338.3,19.04,0.0,12,3,2020
121,73.0,16.39,19.83,13.06,73.8,92.1,49.12,1.149,132.5,4.802,165.3,15.69,0.0,13,3,2020
122,74.0,16.29,18.57,13.4,80.8,90.2,70.6,0.933,146.0,2.911,127.0,18.78,0.0,14,3,2020
132,76.0,15.52,18.65,10.73,59.0,89.7,22.75,2.737,264.4,8.98,271.5,16.75,0.4,16,3,2020
132,77.0,15.42,19.58,10.2,51.59,77.3,29.49,2.372,57.21,7.73,120.8,10.13,0.2,17,3,2020
135,78.0,18.57,21.77,14.65,52.85,69.47,40.96,3.198,98.7,10.88,111.1,18.2,0.0,18,3,2020
132,79.0,16.2,19.18,13.33,69.48,82.3,53.66,1.671,264.6,5.772,264.9,17.14,0.0,19,3,2020
125,80.0,16.09,19.45,13.33,69.26,83.9,51.13,1.434,220.2,5.38,116.2,11.76,0.2,20,3,2020
123,81.0,14.66,17.25,10.93,72.4,96.0,55.92,2.536,279.9,10.47,272.0,19.35,21.2,21,3,2020
128,83.0,14.0,19.58,10.0,70.9,90.2,46.37,1.732,13.46,4.645,10.05,9.15,4.0,23,3,2020
109,84.0,18.07,22.98,14.12,50.14,72.5,33.55,2.003,39.78,9.39,83.1,12.33,0.6000000000000001,24,3,2020
92,85.0,13.27,15.92,10.67,68.03,83.0,53.4,0.877,351.0,4.596,125.8,5.277,0.4,25,3,2020
66,86.0,14.81,19.71,9.6,73.0,82.9,53.46,2.733,306.7,9.06,249.9,21.97,0.0,26,3,2020
73,87.0,14.56,18.58,12.86,63.65,77.6,38.43,1.843,110.6,5.243,147.9,14.7,0.0,27,3,2020
85,88.0,14.34,17.59,11.13,69.11,85.0,53.45,1.728,112.0,6.223,174.9,18.38,0.2,28,3,2020
88,90.0,15.45,18.91,12.66,76.8,87.6,69.78,1.217,274.7,5.165,245.7,17.36,0.0,30,3,2020
119,91.0,14.76,17.78,12.06,84.6,98.0,66.8,1.1,327.2,4.782,347.8,12.27,16.8,31,3,2020
119,91.0,14.76,17.78,12.06,84.6,98.0,66.8,1.1,327.2,4.782,347.8,12.27,16.8,31,3,2020
198,109.0,17.6,19.58,15.06,84.1,92.4,69.65,0.5670000000000001,202.2,2.44,204.4,9.93,0.0,18,4,2020
197,111.0,17.73,21.45,14.86,63.98,78.0,38.64,3.748,282.7,10.26,256.8,24.49,0.0,20,4,2020
206,112.0,15.11,18.38,12.33,72.5,83.9,49.78,3.834,266.7,9.71,239.6,23.93,0.2,21,4,2020
219,113.0,16.84,21.63,11.4,71.5,93.0,45.82,1.021,281.8,4.763,262.3,24.26,0.0,22,4,2020
198,114.0,17.57,21.31,14.06,73.5,88.6,61.31,1.596,101.9,5.37,131.1,25.47,0.0,23,4,2020
221,115.0,17.86,24.43,12.86,72.1,89.4,45.82,1.641,198.2,5.302,198.0,22.11,0.0,24,4,2020
200,116.0,15.35,16.72,14.26,94.5,98.0,88.8,1.6720000000000002,254.8,4.518,271.6,2.795,6.0,25,4,2020
194,119.0,17.71,21.7,13.66,69.71,83.9,50.63,2.093,268.8,8.08,272.3,23.04,0.0,28,4,2020
193,120.0,18.14,22.7,13.46,66.21,84.4,47.49,1.93,285.6,8.03,261.9,27.46,0.0,29,4,2020
179,121.0,17.62,22.77,12.6,74.3,92.1,51.93,2.361,285.8,9.13,283.8,26.48,0.0,30,4,2020
132,122.0,18.45,22.63,14.99,82.5,95.4,49.56,0.937,212.7,4.263,263.5,27.09,0.0,1,5,2020
145,123.0,19.63,25.56,13.93,83.5,98.0,59.49,0.712,216.7,2.862,173.4,27.77,0.0,2,5,2020
141,125.0,22.75,33.09,16.19,56.02,88.2,19.74,2.585,280.2,7.07,265.1,26.84,0.0,4,5,2020
133,126.0,19.46,23.57,15.99,83.9,98.4,61.06,1.027,228.7,3.802,261.4,25.97,0.0,5,5,2020
161,127.0,19.42,24.02,14.46,83.8,100.0,54.76,0.531,168.8,2.205,173.9,27.14,0.0,6,5,2020
154,128.0,21.85,29.16,16.79,64.01,98.6,29.21,1.856,233.6,9.42,274.5,23.77,0.0,7,5,2020
137,129.0,20.06,23.43,15.79,74.7,86.0,42.9,1.021,230.6,4.782,268.4,22.92,0.0,8,5,2020
153,130.0,19.7,23.63,16.86,74.9,96.4,49.16,3.674,257.2,9.57,273.8,26.63,0.0,9,5,2020
157,132.0,18.14,21.51,12.07,68.35,82.9,53.58,3.611,267.6,9.35,265.4,27.86,0.0,11,5,2020
148,133.0,17.02,20.86,14.4,71.8,85.4,36.9,2.537,269.1,8.59,264.5,13.17,2.0,12,5,2020
117,134.0,16.99,21.51,11.74,66.5,91.2,50.9,2.9290000000000003,266.0,9.7,259.8,28.79,0.4,13,5,2020
78,135.0,17.46,21.31,14.99,66.15,84.8,49.38,3.58,252.7,8.17,261.8,27.99,0.0,14,5,2020
78,136.0,17.12,20.5,14.59,73.4,94.1,56.63,0.889,226.6,3.234,233.3,21.36,0.6000000000000001,15,5,2020
89,137.0,18.26,22.9,15.26,67.6,84.0,53.37,1.244,274.3,4.92,254.0,17.84,0.2,16,5,2020
88,139.0,18.82,23.3,15.19,74.8,87.5,61.3,1.007,237.9,4.998,235.2,28.98,0.0,18,5,2020
